address,lat,lng
"J. BONIFACIO 1402, CABA",-58.446695,-34.628663
"MARIANO ACHA 3969, CABA",-58.490233,-34.556376
"TTE. GRAL. J.A. PERON 1509 4ºC, CABA",NA,NA
"RONDEAU 1651 1º piso, CABA",NA,NA
"AV. L. N. ALEM 1110 PISO 9, CABA",NA,NA
"RODRIGUEZ PEÑA 714 4º, CABA",NA,NA
"J.J. BIEDMA 1005, CABA",-58.455154,-34.613422
"TUCUMAN 2757 5º OF 34, CABA",NA,NA
"FLORIDA 1065 11 G, CABA",NA,NA
"AVELLANEDA 11 4° ""C"", CABA",NA,NA
"TONELERO 5971, CABA",-58.514451,-34.641300
"MORON 2453, CABA",-58.466680,-34.622307
"CONDE 3718/20, CABA",NA,NA
"MONTEVIDEO 1159 6º ""B"", CABA",NA,NA
"BONPLAND 1135 5º, CABA",NA,NA
"BALCARCE 1053 1º, CABA",NA,NA
"CUBA 1921, CABA",-58.453291,-34.562548
"RODRIGUEZ PEÑA 231 5º B, CABA",NA,NA
"ALSINA 1960 PB 9, CABA",NA,NA
"ENTRE RIOS 1161, CABA",-58.391614,-34.622385
"TUCUMAN 1538 2º D, CABA",NA,NA
"HILARIO ASCASUBI 3282, CABA",NA,NA
"MACHAIN 3906, CABA",-58.489143,-34.556304
"ROOSVELT 4550, CABA",-58.481215,-34.569925
"ING.BUTTY 240 4º Piso, CABA",NA,NA
"ANGEL GALLARDO 227 2º 6, CABA",NA,NA
"AV. DE MAYO 1209 2º D, CABA",NA,NA
"PACHECO DE MELO 2084, CABA",-58.395656,-34.590364
"GALICIA 919 4º A, CABA",NA,NA
"CIUDAD DE LA PAZ 394, CABA",-58.442281,-34.573953
"CORRIENTES 880 PISO 13, CABA",NA,NA
"GUATEMALA 4294 5º C, CABA",NA,NA
"AV. CORRIENTES 1551, CABA",-58.388661,-34.604160
"COSQUIN 435, CABA",-58.523209,-34.643993
"LAVALLE 1567 7º 714, CABA",NA,NA
"FRAGATA SARMIENTO 522, CABA",-58.450929,-34.617642
"AV CORRIENTES 1834, CABA",-58.392848,-34.604514
"GASCON 1222, CABA",-58.423175,-34.596088
"MAIPU 741 6º B, CABA",NA,NA
"TRONADOR 2051, CABA",-58.471809,-34.571690
"CARRANZA 2400 Piso 9 Dto.""A"", CABA",NA,NA
"FLORIDA 910 4º B, CABA",NA,NA
"FLORIDA 860 LOCAL 101, CABA",NA,NA
"GURRUCHAGA 311, CABA",-58.443567,-34.598856
"GRAL URQUIZA 2037, CABA",-58.407909,-34.634602
"SZ. DE BUSTAMANTE 1265 9º C, CABA",NA,NA
"ALICIA M.DE JUSTO 1120 3º, CABA",NA,NA
"H. YRIGOYEN 820 1º E, CABA",NA,NA
"AV. RIVADAVIA 4260 7º, CABA",NA,NA
"AV. MONROE 2341 9° A., CABA",NA,NA
"ARAOZ 2091 8º A, CABA",NA,NA
"AV CRAMER 1733, CABA",-58.458150,-34.568240
"AV. PUEYRREDON 860 PISO 12, CABA",NA,NA
"AV. CRAMER 2038.7º C, CABA",NA,NA
"OLGA COSSETTINI 1112 8º F, CABA",NA,NA
"AV. ALVAREZ JONTE 4461/65, CABA",NA,NA
"RODRIGUEZ PEÑA 1182 1º D, CABA",NA,NA
"CHARCAS 2983, CABA",-58.408175,-34.593140
"PASAJE JORGE BERMUDEZ 1631, CABA",-58.488967,-34.653130
"AV. CORRIENTES 989 8º PISO, CABA",NA,NA
"COMBATE DE LOS POZOS 1881 2º, CABA",NA,NA
"LAVALLE 1459 2º CUERPO 4º PISO, CABA",NA,NA
"BOEDO 25, CABA",-58.418301,-34.611549
"AV. CORDOBA 2054 1º A, CABA",NA,NA
"ECHEVERRIA 4742, CABA",-58.477654,-34.576163
"NUÑEZ 2802 DTO. 8, CABA",NA,NA
"MONTEVIDEO 141 2 D, CABA",NA,NA
"JUNIN 925, CABA",-58.397334,-34.598266
"AV. CRUZ 1610, CABA",-58.429506,-34.649090
"LAPRIDA 2934, CABA",NA,NA
"AV. RIVADAVIA 3474, CABA",-58.415319,-34.610872
"CAMARGO 694 2 C, CABA",NA,NA
"AGÜERO 1412 PB, CABA",NA,NA
"QUITO 3855, CABA",-58.420870,-34.616677
"TALCAHUANO 1211, CABA",-58.385822,-34.594298
"MEDRANO 1335, CABA",-58.419449,-34.593743
"JUAN MANUEL BLANES 383, CABA",-58.362078,-34.630674
"Av.Scalabrini Ortiz 874 dto 8, CABA",NA,NA
"SALVIGNY 1510 /ESQ CENTENERA, CABA",NA,NA
"SANCHEZ DE BUSTAMANTE 515 2º E, CABA",NA,NA
"CHARCAS 3882 PB A, CABA",NA,NA
"MAGALLANES 1315, CABA",-58.370135,-34.641191
"Av.Santa Fe Nº 1544 local 34, CABA",NA,NA
"AREVALO 1830, CABA",-58.439289,-34.579881
"MONTIEL 249, CABA",-58.526265,-34.642204
"MEXICO 3144 PB 11, CABA",NA,NA
"SERRANO 1316, CABA",-58.433309,-34.590696
"AV. HIPOLITO YRIGOYEN 4220, CABA",-58.426281,-34.614990
"DEAN FUNES 846, CABA",-58.406270,-34.620015
"CESPEDES 3800, CABA",-58.456574,-34.582059
"LAVALLE 900 10º C, CABA",NA,NA
"AZOPARDO 954, CABA",-58.367143,-34.618854
"COSTA RICA 5639, CABA",-58.434876,-34.582443
"CALLAO 410 PISO 2º, CABA",NA,NA
"AV. CORRIENTES 1471, CABA",-58.387525,-34.604071
"PICHINCHA 1142 2º C, CABA",NA,NA
"MONROE 5776 1º D, CABA",NA,NA
"PLAZA 1202, CABA",-58.467318,-34.580442
"PASO 757, CABA",-58.403211,-34.599820
"Fray Justo S. M.de Oro 2760, CABA",-58.421847,-34.576494
"RODRIGUEZ PEÑA 1657 Piso 7 ""C, CABA",NA,NA
"AV. DE LOS INCAS 3462 1º F, CABA",NA,NA
"M.Ugarte 1507 4º DTO 406, CABA",NA,NA
"PARANA 317 4º A, CABA",NA,NA
"NOGOYA 2448 6º 1, CABA",NA,NA
"RAMALLO 1781, CABA",-58.466423,-34.539814
"MEXICO 3038, CABA",-58.408465,-34.618460
"MEXICO 2597 1º D, CABA",NA,NA
"AV. CORDOBA 3580, CABA",-58.416951,-34.597920
"URUGUAY 1371, CABA",-58.387716,-34.592194
"TALCAHUANO 768 10 PISO, CABA",NA,NA
"TALCAHUANO 768 PISO 10 OF 34, CABA",NA,NA
"A. ALSINA 3145 PB 1º, CABA",NA,NA
"BERNARDO DE IRIGOYEN 380 2º, CABA",NA,NA
"CONDARCO 1440, CABA",-58.474431,-34.615690
"GAONA 3125, CABA",-58.469498,-34.617908
"TACUARI 628, CABA",-58.378861,-34.615537
"FREIRE 2551 3º D, CABA",NA,NA
"CHACABUCO 1316, CABA",-58.375497,-34.623643
"CABELLO 3615, CABA",-58.410798,-34.580658
"AVDA. LA PLATA 443 2° D, CABA",NA,NA
"MOLDES 2495, CABA",-58.462517,-34.560048
"RIO DE JANEIRO 323 11 C, CABA",NA,NA
"RECONQUISTA 269 LOCAL 4, CABA",NA,NA
"AV. JULIO A ROCA 546 1º of 1, CABA",NA,NA
"Reconquista 533, 1ºpiso, CABA",NA,NA
"Avenida Belgrano 1460, PB A, CABA",NA,NA
"DONATO ALVAREZ 936 10 L, CABA",NA,NA
"Rivera Indarte 371, CABA",-58.461009,-34.633073
"LIMA 1693 6º PISO DTO 51, CABA",NA,NA
"DEFENSA 269 PB OF 1, CABA",NA,NA
"Concepción Arenal 4501, CABA",-58.453475,-34.594002
"FELIPE VALLESE 2671, CABA",-58.469849,-34.622160
"CASTILLO 549 8 C, CABA",NA,NA
"YERBAL 2248 LOCAL 59 Y, CABA",NA,NA
"3 ARROYOS 1357, CABA",-58.458478,-34.607851
"VIAMONTE 1181 4º piso, CABA",NA,NA
"SARMIENTO 2037, CABA",-58.395757,-34.605861
"AVALOS 2075 1º B, CABA",NA,NA
"TUCUMAN 1621 PB, CABA",NA,NA
"JURAMENTO 1981 OF 19, CABA",NA,NA
"MASON 4428, CABA",-58.427651,-34.594779
"LIBERTAD 1025 6º B, CABA",NA,NA
"MONTES DE OCA 1640, CABA",-58.373094,-34.645924
"H. YRIGOYEN 1516 5º O, CABA",NA,NA
"QUITO 4231 PB, CABA",NA,NA
"PEDRO RIVERA 4610 PISO 1 DTO 6, CABA",NA,NA
"MONROE 4829, CABA",-58.483104,-34.572353
"AV. LAS HERAS 2225, CABA",-58.396127,-34.588228
"EL SALVADOR 4833, CABA",-58.428488,-34.588427
"NICARAGUA 5094, CABA",-58.429286,-34.585040
"Juramento 1475, CABA",-58.447467,-34.556482
"SUIPACHA 1032, CABA",-58.379968,-34.596057
"DORREGO 1789 OF 403, CABA",NA,NA
"PUEYRREDON 750 5º B, CABA",NA,NA
"MARTINIANO LEGUIZAMON 1726, CABA",-58.505363,-34.654711
"LAVALLE 1772 LOCAL 16, CABA",NA,NA
"CARRANZA 1424, CABA",-58.441152,-34.584915
"JEAN JAURES 55 1 B, CABA",NA,NA
"FEDERICO LACROZE 3229 3ºA, CABA",NA,NA
"ANIBAL TROILO 942 5º 11, CABA",NA,NA
"Av. J. G. del Río 2585 P 12 A, CABA",NA,NA
"Sanchez de Bustamante 463, CABA",-58.414571,-34.604487
"PADILLA 673 1º Piso ""A"", CABA",NA,NA
"PJE. CARLOS MOREL 4175, CABA",-58.472875,-34.650524
"MALABIA 852 P.B, CABA",NA,NA
"LAVALLE 1282 PB 6, CABA",NA,NA
"ZAPIOLA 2027 7º D, CABA",NA,NA
"MAURE 1786, CABA",-58.436525,-34.567434
"RIGLOS 108 2º A, CABA",NA,NA
"ALSINA 2747, CABA",-58.404958,-34.612347
"MEXICO 1448, CABA",-58.386661,-34.615551
"DEFENSA 247, CABA",-58.372065,-34.610718
"QUESADA 3431, CABA",-58.473863,-34.559964
"AV. RIVADAVIA 1829 9º, CABA",NA,NA
"ARAOZ 282 1º DTO 6, CABA",NA,NA
"AV. JUAN B. ALBERDI 872, CABA",-58.440157,-34.623050
"LADINES 2750 PB 1, CABA",NA,NA
"ESTADOS UNIDOS 700 esq Chacabu, CABA",NA,NA
"ECHEVERRIA 2336 5 D, CABA",NA,NA
"FORTUNATO DEVOTO 435, CABA",-58.425043,-34.618399
"AV. CABILDO 2280 LOCAL 62, CABA",NA,NA
"ORTIZ DE OCAMPO 2612 2º D, CABA",NA,NA
"MONTEVIDEO 837 7º B, CABA",NA,NA
"MARCELO T DE ALVEAR 1947 3ºD, CABA",NA,NA
"DEL CARMEN 791 3º A, CABA",NA,NA
"AV. SAN JUAN 2107 6º A, CABA",NA,NA
"MONTEVIDEO 1787, CABA",-58.386158,-34.590064
"AV. BELGRANO 3231 15 A, CABA",NA,NA
"JULIAN ALVAREZ 615 6º 13, CABA",NA,NA
"AYACHUCHO 2052, CABA",NA,NA
"CHARLONE 201, CABA",-58.448209,-34.584210
"MATIENZO 1566 15 A, CABA",NA,NA
"LLERENA 2579, CABA",-58.474484,-34.585049
"TANDIL 3564 DTO E, CABA",NA,NA
"BOYACÁ 173 2º DEPARTAMENTO 1, CABA",NA,NA
"Arenales 3537 1º B, CABA",NA,NA
"BENJAMIN MATIENZO 1849 2 B, CABA",NA,NA
"MOLINA 1951, CABA",-58.515895,-34.659516
"AV. ING HUERGO 1485, CABA",-58.364247,-34.624693
"TALCAHUANO 437, CABA",-58.385126,-34.603509
"E. ES. DE SAN MARTIN 908, CABA",-58.455334,-34.603766
"Tacuari 628, CABA",-58.378861,-34.615537
"TRES ARROYOS 1357, CABA",-58.458478,-34.607851
"LA PAMPA 2020 1º P A, CABA",NA,NA
"VENEZUELA 1318, CABA",-58.384835,-34.614531
"AV. RIVADAVIA 3580 14 B, CABA",NA,NA
